value, count
0,349
1,1124
2,499
3,1372
4,944
5,1060
6,1255
7,0
8,1441
9,1648
10,0
11,1760
12,0
13,1884
14,0
15,1998
16,0
17,2090
18,0
19,2023
20,0
21,2101
22,0
23,2088
24,0
25,2030
26,0
27,1978
28,0
29,1808
30,1730
31,0
32,1668
33,1577
34,0
35,1469
36,1278
37,1236
38,0
39,1220
40,1933
41,975
42,880
43,893
44,789
45,1567
46,782
47,850
48,821
49,1616
50,883
51,906
52,867
53,854
54,947
55,973
56,1818
57,867
58,934
59,933
60,970
61,1005
62,1019
63,1060
64,1133
65,1125
66,1186
67,0
68,1219
69,1324
70,1400
71,0
72,1538
73,1619
74,0
75,1807
76,0
77,1871
78,0
79,2085
80,0
81,1895
82,0
83,1935
84,1958
85,0
86,1831
87,0
88,1761
89,0
90,1729
91,1614
92,0
93,1504
94,1437
95,1363
96,0
97,1362
98,1347
99,1345
100,0
101,1448
102,1362
103,1352
104,0
105,1388
106,1450
107,0
108,1561
109,1575
110,0
111,1604
112,0
113,1781
114,1813
115,0
116,1893
117,0
118,2037
119,0
120,2137
121,0
122,2304
123,0
124,0
125,2319
126,0
127,2373
128,0
129,2519
130,0
131,0
132,2305
133,0
134,2302
135,0
136,2252
137,0
138,2076
139,0
140,1995
141,0
142,1818
143,0
144,1935
145,0
146,1903
147,0
148,2025
149,0
150,2140
151,0
152,2258
153,0
154,2305
155,0
156,2324
157,0
158,0
159,2455
160,0
161,2458
162,0
163,2409
164,0
165,0
166,2234
167,0
168,2315
169,0
170,2288
171,0
172,2182
173,0
174,2275
175,0
176,0
177,2315
178,0
179,2391
180,0
181,0
182,2598
183,0
184,2685
185,0
186,0
187,2742
188,0
189,2701
190,0
191,0
192,2556
193,0
194,2410
195,0
196,2261
197,0
198,2041
199,0
200,1853
201,0
202,1781
203,0
204,1613
205,1473
206,1425
207,0
208,1353
209,1233
210,1254
211,1195
212,1171
213,0
214,1208
215,1344
216,1265
217,1230
218,1158
219,0
220,1185
221,1227
222,1086
223,942
224,1726
225,784
226,1299
227,628
228,1323
229,635
230,1401
231,797
232,828
233,941
234,905
235,978
236,1829
237,843
238,824
239,867
240,902
241,1720
242,909
243,970
244,976
245,1065
246,1043
247,1068
248,956
249,982
250,955
251,864
252,1241
253,1265
254,943
255,651
